"Class","Path","RefCount"
"ProjectRating","C:\xampp\htdocs\crm\app\Models\ProjectRating.php","33"
"SocialAuthSetting","C:\xampp\htdocs\crm\app\Models\SocialAuthSetting.php","33"
"EstimateTemplateItem","C:\xampp\htdocs\crm\app\Models\EstimateTemplateItem.php","34"
"EstimateTemplateItemImage","C:\xampp\htdocs\crm\app\Models\EstimateTemplateItemImage.php","34"
"GdprSetting","C:\xampp\htdocs\crm\app\Models\GdprSetting.php","34"
"Issue","C:\xampp\htdocs\crm\app\Models\Issue.php","34"
"ProposalTemplateItem","C:\xampp\htdocs\crm\app\Models\ProposalTemplateItem.php","34"
"UserInvitation","C:\xampp\htdocs\crm\app\Models\UserInvitation.php","34"
"DiscussionCategory","C:\xampp\htdocs\crm\app\Models\DiscussionCategory.php","35"
"EstimateItemImage","C:\xampp\htdocs\crm\app\Models\EstimateItemImage.php","35"
"LeaveFile","C:\xampp\htdocs\crm\app\Models\LeaveFile.php","35"
"StorageSetting","C:\xampp\htdocs\crm\app\Models\StorageSetting.php","35"
"TaskNote","C:\xampp\htdocs\crm\app\Models\TaskNote.php","35"
"UserchatFile","C:\xampp\htdocs\crm\app\Models\UserchatFile.php","35"
"Country","C:\xampp\htdocs\crm\app\Models\Country.php","37"
"EmergencyContact","C:\xampp\htdocs\crm\app\Models\EmergencyContact.php","37"
"TaskUser","C:\xampp\htdocs\crm\app\Models\TaskUser.php","37"
"TicketCustomForm","C:\xampp\htdocs\crm\app\Models\TicketCustomForm.php","37"
"TicketEmailSetting","C:\xampp\htdocs\crm\app\Models\TicketEmailSetting.php","37"
"ContractSign","C:\xampp\htdocs\crm\app\Models\ContractSign.php","38"
"ContractTemplate","C:\xampp\htdocs\crm\app\Models\ContractTemplate.php","38"
"DiscussionFile","C:\xampp\htdocs\crm\app\Models\DiscussionFile.php","39"
"ContractFile","C:\xampp\htdocs\crm\app\Models\ContractFile.php","40"
"Passport","C:\xampp\htdocs\crm\app\Models\Passport.php","40"
"DiscussionReply","C:\xampp\htdocs\crm\app\Models\DiscussionReply.php","41"
"EmployeeShiftChangeRequest","C:\xampp\htdocs\crm\app\Models\EmployeeShiftChangeRequest.php","41"
"ExpensesCategory","C:\xampp\htdocs\crm\app\Models\ExpensesCategory.php","41"
"GoogleCalendarModule","C:\xampp\htdocs\crm\app\Models\GoogleCalendarModule.php","41"
"KnowledgeBase","C:\xampp\htdocs\crm\app\Models\KnowledgeBase.php","41"
"OrderItems","C:\xampp\htdocs\crm\app\Models\OrderItems.php","41"
"SmtpSetting","C:\xampp\htdocs\crm\app\Models\SmtpSetting.php","41"
"TicketChannel","C:\xampp\htdocs\crm\app\Models\TicketChannel.php","41"
"ContractType","C:\xampp\htdocs\crm\app\Models\ContractType.php","42"
"ModuleSetting","C:\xampp\htdocs\crm\app\Models\ModuleSetting.php","42"
"TaskSetting","C:\xampp\htdocs\crm\app\Models\TaskSetting.php","43"
"VisaDetail","C:\xampp\htdocs\crm\app\Models\VisaDetail.php","43"
"TaskComment","C:\xampp\htdocs\crm\app\Models\TaskComment.php","44"
"TicketType","C:\xampp\htdocs\crm\app\Models\TicketType.php","44"
"ProjectNote","C:\xampp\htdocs\crm\app\Models\ProjectNote.php","45"
"TaskCategory","C:\xampp\htdocs\crm\app\Models\TaskCategory.php","45"
"LeadCustomForm","C:\xampp\htdocs\crm\app\Models\LeadCustomForm.php","46"
"TaskCommentEmoji","C:\xampp\htdocs\crm\app\Models\TaskCommentEmoji.php","46"
"TicketGroup","C:\xampp\htdocs\crm\app\Models\TicketGroup.php","46"
"TaskLabelList","C:\xampp\htdocs\crm\app\Models\TaskLabelList.php","47"
"OfflinePaymentMethod","C:\xampp\htdocs\crm\app\Models\OfflinePaymentMethod.php","48"
"DealFollowUp","C:\xampp\htdocs\crm\app\Models\DealFollowUp.php","49"
"ProjectCategory","C:\xampp\htdocs\crm\app\Models\ProjectCategory.php","50"
"ProjectFile","C:\xampp\htdocs\crm\app\Models\ProjectFile.php","50"
"TicketAgentGroups","C:\xampp\htdocs\crm\app\Models\TicketAgentGroups.php","50"
"ProjectTemplate","C:\xampp\htdocs\crm\app\Models\ProjectTemplate.php","51"
"ProductCategory","C:\xampp\htdocs\crm\app\Models\ProductCategory.php","52"
"InvoiceItemImage","C:\xampp\htdocs\crm\app\Models\InvoiceItemImage.php","53"
"LanguageSetting","C:\xampp\htdocs\crm\app\Models\LanguageSetting.php","53"
"LeadSource","C:\xampp\htdocs\crm\app\Models\LeadSource.php","54"
"ProposalItem","C:\xampp\htdocs\crm\app\Models\ProposalItem.php","54"
