"Name","RefCount"
"update-settings.destroy","0"
"update-settings.edit","0"
"update-settings.install","0"
"update-settings.show","0"
"update-settings.update","0"
"user-password.update","0"
"user-permissions.create","0"
"user-permissions.destroy","0"
"user-permissions.edit","0"
"user-permissions.index","0"
"user-permissions.show","0"
"user-permissions.store","0"
"user-profile-information.update","0"
"verification.notice","0"
"verification.send","0"
"verification.verify","0"
"whatsapp.send-message","0"
"whatsapp_settings.send_test_notification","0"
"whatsapp-settings.create","0"
"whatsapp-settings.destroy","0"
"whatsapp-settings.edit","0"
"whatsapp-settings.index","0"
"whatsapp-settings.show","0"
"whatsapp-settings.store","0"
"2fa_codes_download","1"
"accept_invite","1"
"account.live-tracking","1"
"account_unverified","1"
"admin.updateVersion.checkSupport","1"
"admin.updateVersion.notify","1"
"admin.updateVersion.refresh","1"
"appreciations.apply_quick_action","1"
"appreciations.store","1"
"appreciations.update","1"
"app-settings.delete_sessions","1"
"attendance-report.index","1"
"attendances.bulk_mark","1"
"attendances.clock_in_modal","1"
"attendances.destroy","1"
"attendances.employee_data","1"
"attendances.export_attendance","1"
"attendances.import.process","1"
"attendances.import.store","1"
"attendances.store_clock_in","1"
"attendances.update","1"
"attendances.update_clock_in","1"
"attendance-settings.update","1"
"awards.apply_quick_action","1"
"awards.create","1"
"awards.quick-store","1"
"awards.show","1"
"awards.store","1"
"awards.update","1"
"bankaccounts.apply_quick_action","1"
"bankaccounts.apply_transaction_quick_action","1"
"bankaccounts.change_status","1"
"bankaccounts.create","1"
"bankaccounts.destroy","1"
"bankaccounts.destroy_transaction","1"
"bankaccounts.edit","1"
"bankaccounts.generate_statement","1"
"bankaccounts.get_bank_statement","1"
"bankaccounts.store","1"
"bankaccounts.store_transaction","1"
"bankaccounts.update","1"
"business-address.create","1"
"business-address.destroy","1"
"business-address.edit","1"
"business-address.set_default","1"
"business-address.store","1"
"business-address.update","1"
"calendar.index","1"
"cashier.payment","1"
"check_email","1"
"clientCategory.update","1"
"client-contacts.apply_quick_action","1"
"client-contacts.create","1"
"client-contacts.destroy","1"
"client-contacts.edit","1"
"client-contacts.store","1"
"client-contacts.update","1"
"client-docs.create","1"
"client-docs.update","1"
"client-notes.edit","1"
"client-notes.store","1"
"client-notes.update","1"
"clients.apply_quick_action","1"
"clients.destroy","1"
"clients.finance_count","1"
"clients.gdpr_consent","1"
"clients.import","1"
"clients.import.process","1"
"clients.import.store","1"
"clients.save_client_consent","1"
"clients.update","1"
"clientSubCategory.update","1"
"company-settings.update","1"
"companySignStore.sign","1"
"contract_template.apply_quick_action","1"
"contractDiscussions.destroy","1"
"contractDiscussions.edit","1"
"contractDiscussions.store","1"
"contractDiscussions.update","1"
"contractFiles.destroy","1"
"contractFiles.store","1"
"contract-renew.destroy","1"
"contract-renew.edit","1"
"contract-renew.store","1"
"contract-renew.update","1"
"contracts.apply_quick_action","1"
"contracts.company_sig","1"
"contracts.store","1"
"contracts.update","1"
"contract-settings.index","1"
"contract-settings.update","1"
"contract-template.create","1"
"contract-template.destroy","1"
"contract-template.edit","1"
"contract-template.store","1"
"contract-template.update","1"
"contractTypes.destroy","1"
"contractTypes.store","1"
"contractTypes.update","1"
"creditnotes.apply_invoice_credit","1"
"creditnotes.apply_to_invoice","1"
"creditnotes.convert-invoice","1"
"creditnotes.credited_invoices","1"
"creditnotes.delete_credited_invoice","1"
"creditnotes.edit","1"
"creditnotes.store_file","1"
"creditnotes.update","1"
"crm.calendar.events","1"
"currency_settings.exchange_key_store","1"
"currency_settings.update_exchange_rates","1"
"currency-settings.create","1"
"currency-settings.destroy","1"
"currency-settings.index","1"
"currency-settings.store","1"
"currency-settings.update","1"
"custom-fields.create","1"
"custom-fields.destroy","1"
"custom-fields.edit","1"
"custom-fields.store","1"
"custom-fields.update","1"
"custom-link-settings.create","1"
"custom-link-settings.destroy","1"
"custom-link-settings.index","1"
"custom-link-settings.store","1"
"custom-link-settings.update","1"
"custom-modules.create","1"
"custom-modules.show","1"
"custom-modules.store","1"
"custom-modules.update","1"
"custom-modules.verify_purchase","1"
"dashboard.week_timelog","1"
"database-backup-settings.create","1"
"database-backup-settings.create_backup","1"
"database-backup-settings.delete","1"
"database-backup-settings.download","1"
"database-backup-settings.index","1"
"database-backup-settings.store","1"
"deal-files.create","1"
"deal-files.destroy","1"
"deal-files.layout","1"
"deal-files.store","1"
"deal-notes.apply_quick_action","1"
"deal-notes.create","1"
"deal-notes.destroy","1"
"deal-notes.edit","1"
"deal-notes.store","1"
"deal-notes.update","1"
"deals.change_follow_up_status","1"
"deals.filter_options","1"
"deals.follow_up_delete","1"
"deals.follow_up_edit","1"
"deals.follow_up_store","1"
"deals.follow_up_update","1"
"deals.gdpr_consent","1"
"deals.get-deals","1"
"deals.import.process","1"
"deals.import.store","1"
"deals.save_lead_consent","1"
"deals.update","1"
"departments.apply_quick_action","1"
"departments.search","1"
"departments.store","1"
"departments.update","1"
"designation.srchFilter","1"
"designations.apply_quick_action","1"
"designations.store","1"
"designations.update","1"
"discussion.create","1"
"discussion.destroy","1"
"discussion.store","1"
"discussion_file.download","1"
"discussion-category.create","1"
"discussion-category.destroy","1"
"discussion-category.edit","1"
"discussion-category.store","1"
"discussion-category.update","1"
"discussion-files.destroy","1"
"discussion-reply.create","1"
"discussion-reply.destroy","1"
"discussion-reply.edit","1"
"discussion-reply.update","1"
"documents.cancel","1"
"documents.create","1"
"documents.destroy","1"
"documents.send","1"
"documents.store","1"
"documents.update","1"
"document-templates.create","1"
"document-templates.destroy","1"
"document-templates.duplicate","1"
"document-templates.preview","1"
"document-templates.store","1"
"document-templates.update","1"
"emergency-contacts.store","1"
"emergency-contacts.update","1"
"employee-docs.create","1"
"employee-docs.update","1"
"employees.apply_quick_action","1"
"employees.assign_role","1"
"employees.create_link","1"
"employees.destroy","1"
"employees.import","1"
"employees.import.process","1"
"employees.import.store","1"
"employees.invite_member","1"
"employees.send_invite","1"
"employees.update","1"
"employee-shifts.create","1"
"employee-shifts.destroy","1"
"employee-shifts.edit","1"
"employee-shifts.index","1"
"employee-shifts.set_default","1"
"employee-shifts.store","1"
"employee-shifts.update","1"
"employee-visa.create","1"
"employee-visa.show","1"
"employee-visa.store","1"
"employee-visa.update","1"
"estimates.accept","1"
"estimates.add_item","1"
